areaCode,areaName,areaType,date,cumDeaths28DaysByPublishDate
E07000111,Sevenoaks,ltla,2020-12-13,91
E07000111,Sevenoaks,ltla,2020-12-12,91
E07000111,Sevenoaks,ltla,2020-12-11,91
E07000111,Sevenoaks,ltla,2020-12-10,91
E07000111,Sevenoaks,ltla,2020-12-09,91
E07000111,Sevenoaks,ltla,2020-12-08,88
E07000111,Sevenoaks,ltla,2020-12-07,87
E07000111,Sevenoaks,ltla,2020-12-06,87
E07000111,Sevenoaks,ltla,2020-12-05,87
E07000111,Sevenoaks,ltla,2020-12-04,87
E07000111,Sevenoaks,ltla,2020-12-03,86
E07000111,Sevenoaks,ltla,2020-12-02,86
E07000111,Sevenoaks,ltla,2020-12-01,85
E07000111,Sevenoaks,ltla,2020-11-30,85
E07000111,Sevenoaks,ltla,2020-11-29,85
E07000111,Sevenoaks,ltla,2020-11-28,84
E07000111,Sevenoaks,ltla,2020-11-27,84
E07000111,Sevenoaks,ltla,2020-11-26,84
E07000111,Sevenoaks,ltla,2020-11-25,82
E07000111,Sevenoaks,ltla,2020-11-24,82
E07000111,Sevenoaks,ltla,2020-11-23,81
E07000111,Sevenoaks,ltla,2020-11-22,81
E07000111,Sevenoaks,ltla,2020-11-21,80
E07000111,Sevenoaks,ltla,2020-11-20,80
E07000111,Sevenoaks,ltla,2020-11-19,78
E07000111,Sevenoaks,ltla,2020-11-18,78
E07000111,Sevenoaks,ltla,2020-11-17,80
E07000111,Sevenoaks,ltla,2020-11-16,78
E07000111,Sevenoaks,ltla,2020-11-15,77
E07000111,Sevenoaks,ltla,2020-11-14,77
E07000111,Sevenoaks,ltla,2020-11-13,77
E07000111,Sevenoaks,ltla,2020-11-12,77
E07000111,Sevenoaks,ltla,2020-11-11,77
E07000111,Sevenoaks,ltla,2020-11-10,77
E07000111,Sevenoaks,ltla,2020-11-09,77
E07000111,Sevenoaks,ltla,2020-11-08,77
E07000111,Sevenoaks,ltla,2020-11-07,77
E07000111,Sevenoaks,ltla,2020-11-06,76
E07000111,Sevenoaks,ltla,2020-11-05,74
E07000111,Sevenoaks,ltla,2020-11-04,74
E07000111,Sevenoaks,ltla,2020-11-03,73
E07000111,Sevenoaks,ltla,2020-11-02,73
E07000111,Sevenoaks,ltla,2020-11-01,73
E07000111,Sevenoaks,ltla,2020-10-31,73
E07000111,Sevenoaks,ltla,2020-10-30,73
E07000111,Sevenoaks,ltla,2020-10-29,73
E07000111,Sevenoaks,ltla,2020-10-28,73
E07000111,Sevenoaks,ltla,2020-10-27,72
E07000111,Sevenoaks,ltla,2020-10-26,71
E07000111,Sevenoaks,ltla,2020-10-25,71
E07000111,Sevenoaks,ltla,2020-10-24,71
E07000111,Sevenoaks,ltla,2020-10-23,71
E07000111,Sevenoaks,ltla,2020-10-22,71
E07000111,Sevenoaks,ltla,2020-10-21,71
E07000111,Sevenoaks,ltla,2020-10-20,71
E07000111,Sevenoaks,ltla,2020-10-19,71
E07000111,Sevenoaks,ltla,2020-10-18,71
E07000111,Sevenoaks,ltla,2020-10-17,71
E07000111,Sevenoaks,ltla,2020-10-16,71
E07000111,Sevenoaks,ltla,2020-10-15,71
E07000111,Sevenoaks,ltla,2020-10-14,71
E07000111,Sevenoaks,ltla,2020-10-13,71
E07000111,Sevenoaks,ltla,2020-10-12,71
E07000111,Sevenoaks,ltla,2020-10-11,71
E07000111,Sevenoaks,ltla,2020-10-10,70
E07000111,Sevenoaks,ltla,2020-10-09,71
E07000111,Sevenoaks,ltla,2020-10-08,71
E07000111,Sevenoaks,ltla,2020-10-07,71
E07000111,Sevenoaks,ltla,2020-10-06,71
E07000111,Sevenoaks,ltla,2020-10-05,71
E07000111,Sevenoaks,ltla,2020-10-04,71
E07000111,Sevenoaks,ltla,2020-10-03,71
E07000111,Sevenoaks,ltla,2020-10-02,71
E07000111,Sevenoaks,ltla,2020-10-01,71
E07000111,Sevenoaks,ltla,2020-09-30,71
E07000111,Sevenoaks,ltla,2020-09-29,71
E07000111,Sevenoaks,ltla,2020-09-28,71
E07000111,Sevenoaks,ltla,2020-09-27,71
E07000111,Sevenoaks,ltla,2020-09-26,71
E07000111,Sevenoaks,ltla,2020-09-25,71
E07000111,Sevenoaks,ltla,2020-09-24,71
E07000111,Sevenoaks,ltla,2020-09-23,71
E07000111,Sevenoaks,ltla,2020-09-22,71
E07000111,Sevenoaks,ltla,2020-09-21,71
E07000111,Sevenoaks,ltla,2020-09-20,71
E07000111,Sevenoaks,ltla,2020-09-19,71
E07000111,Sevenoaks,ltla,2020-09-18,71
E07000111,Sevenoaks,ltla,2020-09-17,71
E07000111,Sevenoaks,ltla,2020-09-16,71
E07000111,Sevenoaks,ltla,2020-09-15,71
E07000111,Sevenoaks,ltla,2020-09-14,71
E07000111,Sevenoaks,ltla,2020-09-13,71
E07000111,Sevenoaks,ltla,2020-09-12,71
E07000111,Sevenoaks,ltla,2020-09-11,71
E07000111,Sevenoaks,ltla,2020-09-10,71
E07000111,Sevenoaks,ltla,2020-09-09,71
E07000111,Sevenoaks,ltla,2020-09-08,71
E07000111,Sevenoaks,ltla,2020-09-07,70
E07000111,Sevenoaks,ltla,2020-09-06,70
E07000111,Sevenoaks,ltla,2020-09-05,70
E07000111,Sevenoaks,ltla,2020-09-04,70
E07000111,Sevenoaks,ltla,2020-09-03,70
E07000111,Sevenoaks,ltla,2020-09-02,70
E07000111,Sevenoaks,ltla,2020-09-01,70
E07000111,Sevenoaks,ltla,2020-08-31,70
E07000111,Sevenoaks,ltla,2020-08-30,70
E07000111,Sevenoaks,ltla,2020-08-28,70
E07000111,Sevenoaks,ltla,2020-08-27,70
E07000111,Sevenoaks,ltla,2020-08-26,70
E07000111,Sevenoaks,ltla,2020-08-25,70
E07000111,Sevenoaks,ltla,2020-08-24,70
E07000111,Sevenoaks,ltla,2020-08-23,70
E07000111,Sevenoaks,ltla,2020-08-22,70
E07000111,Sevenoaks,ltla,2020-08-21,70
E07000111,Sevenoaks,ltla,2020-08-20,70
E07000111,Sevenoaks,ltla,2020-08-19,70
E07000111,Sevenoaks,ltla,2020-08-18,70
E07000111,Sevenoaks,ltla,2020-08-17,70
